ID;ID;name;adress;coordinate;functional_zone;landuse;land_size;area;building_area;land_area;year_of_commissioning;year_of_termination;new_feature;new_feature_2;capacity;project_type;architectural_style;technical_condition;decoration;material;communications;link ;k1_1;k1_2;k1_3;k1_4;k1_5;k1_6;k1_7 ;k1_8;k1_9;k2_1 ;k2_2 ;k2_3 ;k2_4;k2_5;k2_6 ;k2_7 ;k2_8 ;k2_9;k3_1 ;k3_2;k3_3 ;k3_4;k3_5;k3_6 ;k4_1;k4_2;k4_3 ;k4_4;k4_5;k4_6;k4_7;k4_8;k4_9;k4_10;k4_11;k4_12;k4_13;k4_14;k4_15;k4_16;k4_17;i_1;i_2;i_3;i_4;I;potential;;
49;21;Школа N256;г. Санкт-Петербург, Вознесенский пр,  34Н;59.925552, 30.308789;Ж;ООЗ;2652;3988;997;35;1938;2007;административная;Центр оценки качества образования;440;;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house17618.html;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0,444444444;0,666666667;1;0,470588235;2,58;средний;;
21;22;Школа;г. Санкт-Петербург, пр. Металлистов, 96;59.968750, 30.404909;Ж;;9975;3308;827;0;1930;1973;производственная;Завод медицинской оптики;880;Типовой проект, тип ША, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house25162.html;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0,666666667;0,666666667;0,833333333;0,411764706;2,58;средний;;
51;23;Школа N35;г. Санкт-Петербург, Константиновский пр,  11;59.972627, 30.271653;Д;ОЗРЗ-2;3211;3333;1111;1048;1936;1977;офисная;Офисное здание;880;Типовой проект Федосеев Ф.П.;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house16808.html;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0,222222222;0,777777778;1;0,529411765;2,53;средний;;
46;24;Школа;г. Санкт-Петербург, Петрозаводская ул., 12;59.963705, 30.290176;Д;ОЗРЗ-2;1499;4012;1003;191;1937;1988;административная;Административное здание;880;Типовой проект, тип ША, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house9328.html;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0,444444444;0,666666667;1;0,411764706;2,52;средний;;
48;25;Школа;г. Санкт-Петербург, ул. 2-я Советская,  3;59.932879, 30.364557;Д;ОЗРЗ-1;2805;4904;1226;0;1936;1988;административная;Управление по борьбе с наркотиками;440;Карлюк Н.А.;;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house3425.html;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0,444444444;0,666666667;1;0,411764706;2,52;средний;;
62;26;Школа N494;г. Санкт-Петербург, Трамвайный пр., 23к1;59.853826, 30.274743;Ж;;5791;4080;1020;1000;1957;1988;административная;Налоговая служба;440;Типовой проект 4992 Евдокимов С.И.;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house13975.html;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0,777777778;0,777777778;0,666666667;0,294117647;2,52;средний;;
39;27;Школа;г. Санкт-Петербург, пр. Обуховской Обороны, 287к1;59.848647, 30.481302;Ж;;12988;4335;1445;7745;1936;2011;жилая;Жилой дом;440;Типовой проект Асс Л.Е., Гинберг А.С.;Сталинский неоклассицзим;Работоспособное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house16563.html;0;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;0,444444444;0,555555556;1;0,470588235;2,47;средний;;
58;28;Школа ФЗУ Балтийского завода;г. Санкт-Петербург, Большой прос пект ВО, 78;59.930678, 30.254980;Д;ОЗРЗ-2;2526;12630;2526;0;1951;1978;жилая;Жилой дом;1600;Хазанов В.В., Саркисов М.И.;Сталинский неоклассицзим;Исправное;Нет;Кирпич, дерево;Подключено;https://www.citywalls.ru/house4641.html;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0,333333333;0,444444444;1;0,647058824;2,42;средний;;
31;29;Школа N19 ;г. Санкт-Петербург, наб. к. Грибоедова, 126;59.920848, 30.295485;Д;ООЗ;2092;3784;946;30;1936;1965;офисная;Офисный центр;400;Васильковский С.В., Зимичев М.И.;Сталинский неоклассицзим;Исправное;Нет;Кирпич, дерево;Подключено;https://www.citywalls.ru/house2880.html;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0,222222222;0,666666667;1;0,529411765;2,42;средний;;
57;30;Школа;г. Санкт-Петербург, Лисий нос, Александровская ул., 2;60.012935, 30.016487;И;;2998;1827;609;232;1951;2017;административная;Административное здание;200;;Сталинский неоклассицзим;Работоспособное;Нет;Кирпич, дерево;Подключено;https://www.citywalls.ru/house27769.html;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0,777777778;0,444444444;0,833333333;0,352941176;2,41;средний;;
